type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,origen
EC,ec-act4d-3.5,3.5,"Usar internet y las herramientas digitales de forma responsable para aprender y trabajar con los demás, y valorar el trabajo de las personas dedicadas a la ciencia, destacando el papel de la mujer.",,,,,,,,,,,,,,,,,,,,,,,,fq4 4.1; bg4 2.3
EC,ec-act4d-4.1,4.1,"Explicar con rigor por qué ocurren los fenómenos físicos y químicos del día a día, apoyándose en las leyes y teorías estudiadas.",,,,,,,,,,,,,,,,,,,,,,,,fq4 1.1
EC,ec-act4d-4.2,4.2,"Resolver problemas de física y química aplicando esas leyes, explicando el procedimiento y dando el resultado con precisión.",,,,,,,,,,,,,,,,,,,,,,,,fq4 1.2
EC,ec-act4d-4.3,4.3,"Explicar procesos de biología y geología diseñando modelos, dibujos y esquemas, y sacar conclusiones.",,,,,,,,,,,,,,,,,,,,,,,,bg4 1.1; bg4 1.3
EC,ec-act4d-4.4,4.4,"Reconstruir la historia geológica de una zona a partir de un corte o un mapa, aplicando los principios básicos de la geología y relacionándola con el relieve.",,,,,,,,,,,,,,,,,,,,,,,,bg4 6.1
EC,ec-act4d-4.5,4.5,Detectar problemas reales del entorno que la ciencia puede ayudar a resolver y poner en marcha alguna iniciativa en equipo.,,,,,,,,,,,,,,,,,,,,,,,,fq4 1.3
EC,ec-act4d-5.1,5.1,"Identificar los riesgos naturales que aumentan por la acción humana en una zona, teniendo en cuenta sus rocas, su relieve, sus ecosistemas y su situación económica y social.",,,,,,,,,,,,,,,,,,,,,,,,bg4 5.1
EC,ec-act4d-5.2,5.2,"Proponer y valorar las ventajas de un modo de vida sostenible y saludable, argumentando qué se puede hacer para mejorar el medio ambiente y la salud.",,,,,,,,,,,,,,,,,,,,,,,,bg4 5.2
EC,ec-act4d-5.3,5.3,"Pensar sobre los riesgos geológicos y sobre las actividades humanas que agravan las catástrofes naturales, y proponer mejores formas de actuar.",,,,,,,,,,,,,,,,,,,,,,,,bg4 6.2
EC,ec-act4d-5.4,5.4,"Detectar las necesidades tecnológicas, ambientales, económicas y sociales del entorno y entender cómo la ciencia puede darles respuesta con la implicación de todos.",,,,,,,,,,,,,,,,,,,,,,,,fq4 6.2
EC,ec-act4d-5.5,5.5,"Cumplir con rigor las normas del laboratorio y de los espacios de trabajo, cuidando la salud propia y la de los demás, el material y el medio ambiente.",,,,,,,,,,,,,,,,,,,,,,,,fq4 3.3
EC,ec-act4d-6.1,6.1,"Reconocer y manejar las propias emociones ante las tareas, con una actitud positiva y constante, aceptando el error y las correcciones como parte de aprender.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 9.1; mat4a 9.2
EC,ec-act4d-6.2,6.2,"Trabajar en equipo con compañeros distintos, escuchando otras opiniones y comunicándose de forma eficaz y respetuosa.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 10.1; fq4 5.1
EC,ec-act4d-6.3,6.3,"Cumplir la parte del trabajo que le toca, hacerse responsable de ella y facilitar que todo el mundo participe.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 10.2; bg4 3.5
EC,ec-act4d-6.4,6.4,Sacar adelante por su cuenta un proyecto científico que resulte útil para uno mismo o para la comunidad.,,,,,,,,,,,,,,,,,,,,,,,,fq4 5.2
