type,id,code,description,link1,link2,link3,link4,link5,link6,link7
KC,kc-cc,CC,Competencia ciudadana,,,,,,,
KC,kc-ccec,CCEC,Competencia en Conciencia y Expresión Culturales,,,,,,,
KC,kc-ccl,CCL,Competencia en comunicación lingüística,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,
KC,kc-cp,CP,Competencia Plurilingüe,,,,,,,
KC,kc-stem,STEM,"Competencia Matemática y Competencia en Ciencia, Tecnología e Ingeniería",,,,,,,
SB,sb-lat4-b8,B.8,"Técnicas de reconocimiento, organización e incorporación a la producción escrita, oral o multimodal de léxico de raíz común entre las distintas lenguas del repertorio lingüístico individual.",,,,,,,
SB,sb-lat4-b9,B.9,Comparación entre lenguas a partir de su origen y parentescos.,,,,,,,
SB,sb-lat4-b10,B.10,"Importancia del latín como herramienta de mejora de la expresión escrita, oral y multimodal en las distintas lenguas del repertorio lingüístico individual.",,,,,,,
SB,sb-lat4-b11,B.11,Herramientas analógicas y digitales para el aprendizaje y reflexión de la lengua latina como vínculo e impulso para el aprendizaje de otras lenguas.,,,,,,,
SB,sb-lat4-c1,C.1,Los casos y sus principales valores sintácticos.,,,,,,,
SB,sb-lat4-c2,C.2,"La flexión nominal, pronominal y verbal.",,,,,,,
SB,sb-lat4-c3,C.3,Estructuras oracionales básicas. La concordancia y el orden de palabras.,,,,,,,
SB,sb-lat4-c4,C.4,"Estrategias básicas para identificar, analizar y traducir unidades lingüísticas (léxico, morfosintaxis) a partir de la comparación de las lenguas y variedades que conforman el repertorio lingüístico personal.",,,,,,,
SB,sb-lat4-c5,C.5,"Recursos para el aprendizaje y estrategias básicas de adquisición de lenguas tales como Portfolio Europeo de las Lenguas, glosarios, diccionarios.",,,,,,,
SB,sb-lat4-c6,C.6,Reflexión y justificación de la traducción ofrecida.,,,,,,,
SB,sb-lat4-c7,C.7,Retroversión de oraciones sencillas.,,,,,,,
SB,sb-lat4-c8,C.8,"Autoconfianza, autonomía e iniciativa. El error como parte integrante del proceso de aprendizaje.",,,,,,,
